platform,URL,date_crawl,customer_name,time_comment,content,thank_count
Youtube,https://www.youtube.com/watch?v=oD9FTjOuMWg,06/03/2024,@realvatvostudio,2024-03-06T04:29:30Z,"► Mua Galaxy S24 series chính hãng giá tốt: <a href=""https://www.xtmobile.vn/samsung-galaxy-s24-s24-ultra?utm_source=youtube&amp;utm_medium=vatvostudios&amp;utm_campaign=galaxy-s24-3-2024"">https://www.xtmobile.vn/samsung-galaxy-s24-s24-ultra?utm_source=youtube&amp;utm_medium=vatvostudios&amp;utm_campaign=galaxy-s24-3-2024</a><br>► Mua iPhone 15 series chính hãng giá tốt: <a href=""https://www.xtmobile.vn/iphone-15?utm_source=youtube&amp;utm_medium=vatvostudios&amp;utm_campaign=iphone-15-3-2024"">https://www.xtmobile.vn/iphone-15?utm_source=youtube&amp;utm_medium=vatvostudios&amp;utm_campaign=iphone-15-3-2024</a>",0
Youtube,https://www.youtube.com/watch?v=oD9FTjOuMWg,06/03/2024,@nhutphamnam1261,2024-03-06T06:25:07Z,Pin ip 5000 thì sạc tới bao giờ 😂😂,0
Youtube,https://www.youtube.com/watch?v=oD9FTjOuMWg,06/03/2024,@nhutphamnam1261,2024-03-06T06:20:57Z,An toàn nhất bên Android  tôi vẫn mua 24u,0
Youtube,https://www.youtube.com/watch?v=oD9FTjOuMWg,06/03/2024,@kocah0o,2024-03-06T06:19:47Z,Mấy máy tàu còn sạc nhanh nữa,0
Youtube,https://www.youtube.com/watch?v=oD9FTjOuMWg,06/03/2024,@TuNguyen-wy3yr,2024-03-06T06:06:17Z,"Hóng test pin honor magic 6 pro, xem video test nước ngoài 2 con s24u với 15 prm ngỏm rồi mà nó vẫn còn 30%, trâu vãi nhái 😂",0
Youtube,https://www.youtube.com/watch?v=oD9FTjOuMWg,06/03/2024,@vietphuongnguyenvan1360,2024-03-06T05:57:30Z,👍👍👍,0
Youtube,https://www.youtube.com/watch?v=oD9FTjOuMWg,06/03/2024,@duyquangduong8066,2024-03-06T05:52:30Z,cực kì thất vọng apple,0
Youtube,https://www.youtube.com/watch?v=oD9FTjOuMWg,06/03/2024,@user-zn6oh9mn8r,2024-03-06T05:46:48Z,Fan sam sung đánh giá vẫn là sam sung vô đối,0
Youtube,https://www.youtube.com/watch?v=oD9FTjOuMWg,06/03/2024,@huynguyen3065,2024-03-06T05:37:58Z,Ngóng trong hoài,0
Youtube,https://www.youtube.com/watch?v=oD9FTjOuMWg,06/03/2024,@nguyentran-bf7rw,2024-03-06T05:30:19Z,.,0
